tweetid,root_tweetid,link_count
552791831390732289,552791831390732289,19
552802098602319873,552802098602319873,19
552817367995002880,552817367995002880,19
552818799095730176,552818799095730176,19
552821810572439553,552821810572439553,19
552821862850637825,552821862850637825,19
552822043490938881,552822043490938881,19
552822944603582464,552822944603582464,19
552824320389435392,552824320389435392,19
552824462958395392,552824462958395392,19
552825512708808704,552825512708808704,19
552827133500719104,552827133500719104,19
552834182905221121,552834182905221121,19
552834501383290880,552834501383290880,19
552835209285337089,552835209285337089,19
552846886626164736,552846886626164736,19
552979571021447168,552979571021447168,19
552981008518500353,552981008518500353,19
553121581187485696,553121581187485696,19
553124985137815552,553124985137815552,19
553135106609922049,553135106609922049,19
553135802495270913,553135802495270913,19
553157857215262721,553157857215262721,19
553159773555023872,553159773555023872,19
553168698677030913,553168698677030913,19
553174789561389056,553174789561389056,19
553183067670843392,553183067670843392,19
553188214522249217,553188214522249217,19
553191800408911872,553191800408911872,19
553197212726218752,553197212726218752,19
553213326277500929,553213326277500929,19
553214783647145984,553214783647145984,19
553215305917665280,553215305917665280,19
553216874130206721,553216874130206721,19
553220369721483266,553220369721483266,19
553462249562832897,553462249562832897,19
553490241445965824,553490241445965824,19
553497730476015617,553497730476015617,19
553528740618436610,553528740618436610,19
553537280343031808,553537280343031808,19
553546292748898304,553546292748898304,19
553553966970044416,553553966970044416,19
553555293645590528,553555293645590528,19
553562348376850433,553562348376850433,19
553582039106990080,553582039106990080,19
553584173420920833,553584173420920833,19
553585840270876672,553585840270876672,19
553590072373968897,553590072373968897,19
552847441561931777,552837132491186179,19
553133704881917952,553133704881917952,19
553184482241814530,553184482241814530,19
553469733656203264,553469733656203264,19
553493707472011264,553493707472011264,19
553502446769942528,553502446769942528,19
553503546382249984,553503546382249984,19
553518472798683136,553518472798683136,19
553535441828605953,553535441828605953,19
553576849943826432,553576849943826432,19
553586860334010368,553586860334010368,19
553587013409325058,553587013409325058,19
553588374280601600,553588374280601600,19
553588993993232384,553588993993232384,19
553589121776898048,553589121776898048,19
553589606307090432,553589606307090432,19
553590459688570880,553590459688570880,19
553591259672379392,553591259672379392,19
552794286849536001,552794286849536001,18
552804328319504384,552804328319504384,18
552806549593538562,552805050620604418,18
552805638024077312,552805638024077312,18
552810855503757313,552810855503757313,18
552811408094945280,552811408094945280,18
552811533303296001,552811533303296001,18
552816686752358401,552816686752358401,18
552823014866563072,552823014866563072,18
552833662593400833,552833662593400833,18
552835854750605313,552835854750605313,18
552836898562265088,552836898562265088,18
552837078854410241,552837078854410241,18
552840964025626624,552840964025626624,18
552842983247466497,552842983247466497,18
552844311096983552,552844311096983552,18
552845542536261634,552845542536261634,18
552847905498103808,552847905498103808,18
552851772658561028,552851772658561028,18
552978225094078464,552978225094078464,18
552980632432050177,552980632432050177,18
553107939926736896,553107939926736896,18
553116149333114880,553116149333114880,18
553133048611753984,553133048611753984,18
553149880693456896,553149880693456896,18
553157600704204800,553157600704204800,18
553164303650799616,553164303650799616,18
553171741804359680,553171741804359680,18
553175336926449664,553175336926449664,18
553193866057506817,553193866057506817,18
553194632520421376,553194632520421376,18
553205115830951936,553205115830951936,18
553209983845023745,553209983845023745,18
553215658784456705,553215658784456705,18
553221293298819074,553221293298819074,18
553227906449960961,553227906449960961,18
553232704708546561,553232704708546561,18
553491604917334016,553491604917334016,18
553496489641902080,553496489641902080,18
553532736187924480,553532736187924480,18
553533193899368448,553533193899368448,18
553535765997969408,553535765997969408,18
553538304332017665,553538304332017665,18
553538939076624384,553538939076624384,18
553539631149756416,553539631149756416,18
553550888770740224,553550888770740224,18
553562832001048576,553562832001048576,18
553574650450825216,553574650450825216,18
553582812964876288,553582812964876288,18
553583670343524352,553583670343524352,18
553584366803488770,553584366803488770,18
553588889084891136,553588889084891136,18
553589970775343104,553589970775343104,18
553591526937600001,553591526937600001,18
553592108699758592,553592108699758592,18
552790838015979520,552790838015979520,18
552811386259386370,552811386259386370,18
552817965813739520,552817965813739520,18
552983615747796994,552983615747796994,18
552985611070881792,552985611070881792,18
553152395371630592,553152395371630592,18
553198972287082497,553198972287082497,18
553493785523400704,553493785523400704,18
553503184174710784,553503184174710784,18
553506608203169792,553506608203169792,18
553513403512532992,553513403512532992,18
553528788383191040,553528788383191040,18
553529101659566080,553529101659566080,18
553531343834202112,553531343834202112,18
553541676229472256,553541676229472256,18
553546063752478722,553546063752478722,18
553547270264979456,553547270264979456,18
553550301886955520,553550301886955520,18
553556844665659392,553556844665659392,18
553557308937363458,553557308937363458,18
553573365798416385,553573365798416385,18
553574501964079104,553574501964079104,18
553587672137334785,553587672137334785,18
553590721207615488,553590721207615488,18
552787321561812992,552787321561812992,17
552797148975464448,552797148975464448,17
552803792618799106,552803792618799106,17
552808242276229120,552808242276229120,17
552813590919778304,552813590919778304,17
552815682241691648,552815682241691648,17
552822604206460928,552822604206460928,17
552832369573376001,552825844755083265,17
552828504060874752,552828504060874752,17
552829011983089664,552829011983089664,17
552829046485434368,552829046485434368,17
552829395690201088,552829395690201088,17
552829481962835969,552829481962835969,17
552829571750715392,552829571750715392,17
552833148128862208,552833148128862208,17
552837012689264640,552837012689264640,17
552837027616804864,552837027616804864,17
552837035732381696,552837035732381696,17
552837657135312897,552837268160135169,17
552837310707171328,552837310707171328,17
552838203078873089,552838203078873089,17
552839843999645697,552839843999645697,17
552840606074953728,552840606074953728,17
552840805678084096,552840805678084096,17
552841043423805440,552841043423805440,17
552842236883652609,552842236883652609,17
552855173505482753,552842814061424640,17
552845028130037760,552845028130037760,17
552845840247971842,552845840247971842,17
552846874432909312,552846874432909312,17
552847548776742914,552847548776742914,17
552848478196736000,552848478196736000,17
552850379453366272,552850379453366272,17
552981531023921153,552981531023921153,17
553109319764291584,553109319764291584,17
553109813807575040,553109813807575040,17
553114307383541761,553114307383541761,17
553120849231089664,553120849231089664,17
553122359398260736,553122359398260736,17
553126517187047424,553126517187047424,17
553127508150071297,553127508150071297,17
553131763468603392,553131763468603392,17
553131791553667072,553131791553667072,17
553148844574511104,553148844574511104,17
553148900811759617,553148900811759617,17
553151201253294080,553151201253294080,17
553157114156560385,553157114156560385,17
553162589744926720,553162589744926720,17
553173501369389056,553173501369389056,17
553174353735872512,553174353735872512,17
553189526177579008,553189526177579008,17
553193210269298688,553193210269298688,17
553195806899970048,553195806899970048,17
553196453938855937,553196453938855937,17
553200573387124736,553200573387124736,17
553200726403710976,553200726403710976,17
553205427253829632,553205427253829632,17
553224082213601280,553224082213601280,17
553227220765130752,553227220765130752,17
553227238829981698,553227238829981698,17
553229592480481281,553229592480481281,17
553229808260632578,553229808260632578,17
553463773844238337,553463773844238337,17
553488850363101184,553488850363101184,17
553506946054369280,553506946054369280,17
553515827073261568,553515827073261568,17
553516364879904768,553516364879904768,17
553532507623546881,553532507623546881,17
553537551114706945,553537551114706945,17
553539504146231298,553539504146231298,17
