userid,tweet_count,link_count,thread_count
1120627788,166,316,2
58448544,125,265,1
2370908751,77,124,31
1348798826,69,80,55
2707815410,68,111,6
2886586060,62,74,39
100880543,61,108,1
18142983,58,60,54
15883532,52,121,1
2905442233,51,84,1
362200247,51,79,1
354248645,51,116,1
447356935,48,81,1
2551157894,47,88,1
64643056,44,357,39
16973333,44,450,44
5402612,44,487,41
7587032,44,485,44
2780648743,44,45,41
295111386,43,76,2
237321959,43,81,1
2425223344,42,73,1
2464502209,41,59,38
261093402,41,107,1
702591266,40,78,4
1637725969,40,40,13
1548477050,40,71,1
404460410,39,39,39
2273282888,39,74,5
3108351,39,450,39
130586534,38,76,1
35955424,38,80,2
1632334700,38,67,3
270588444,38,79,3
246344957,38,50,1
87818409,34,359,34
2961649574,33,33,27
22021978,33,110,8
2663706607,33,61,1
596381503,32,39,1
567039350,32,75,2
467460248,32,67,3
961605296,30,50,6
1884326047,30,51,5
363723508,29,46,8
2945865278,29,32,19
514466260,29,60,1
222241770,28,62,1
213411682,28,44,1
47755562,27,43,1
280012815,27,46,4
2201786204,27,47,3
31135856,27,102,4
2514607890,27,35,1
26552390,27,48,2
2761606758,27,54,1
279788564,27,41,6
2097571,26,291,25
2706148363,26,53,4
2933943867,26,27,24
335871995,26,30,23
947496571,26,35,2
20794142,26,48,1
113704009,25,34,3
2584501496,25,35,16
16343974,25,231,25
1408458926,25,25,25
141682204,25,46,6
47681231,25,56,2
1382134681,25,44,1
47921034,25,52,1
2830283564,25,62,1
15438913,24,243,24
868112707,24,224,24
234912898,24,39,12
1542767918,24,35,12
1526215092,24,49,1
87416722,24,261,24
1234987687,24,26,18
326785759,24,46,1
262151877,24,46,1
703223386,23,29,5
807095,23,314,23
428333,23,348,23
25206663,23,37,13
1994321,23,105,23
1503342588,23,23,22
1585970245,23,43,7
204669721,23,59,1
1622984269,23,48,1
51241574,23,301,23
21453194,23,35,1
302591092,23,49,1
2875761863,22,23,20
1653834024,22,27,12
20494522,22,44,2
247450172,22,50,2
36326077,22,42,1
44114927,22,29,6
131291112,22,49,1
380648579,22,260,22
718337384,22,37,2
159491022,22,48,2
1698718310,22,39,1
1534889346,22,39,1
180966353,22,34,2
2419629020,22,51,2
821689608,22,46,1
1897925491,21,34,1
2705994475,21,45,2
2851170553,21,35,4
986509249,21,29,2
1849407440,21,25,17
58341062,21,24,11
49285857,21,33,1
1292459060,21,39,1
565644812,21,44,2
302774717,21,42,1
97863902,20,35,4
2292797061,20,34,6
551551599,20,21,15
2819548282,20,39,1
909894727,20,24,7
1347805152,20,30,1
268194728,20,34,2
1263002017,20,37,4
2950326528,20,21,1
16850725,20,36,2
2260870241,20,37,2
229055095,20,32,3
2502895924,20,41,1
22924257,20,43,1
492356671,20,37,1
16738907,20,39,1
1049321,19,39,2
517656712,19,22,19
2483778600,19,32,2
25190181,19,31,1
556633808,19,42,1
1429286310,19,31,1
1452203587,19,42,1
1020660620,19,47,1
1397423635,19,38,1
274119514,19,40,1
551264176,19,36,1
127049815,19,50,1
2866333263,19,32,2
150219628,19,41,1
20233638,18,32,4
23153001,18,19,17
165335229,18,30,5
1492456590,18,32,1
226507762,18,39,1
2780754387,18,29,2
2666274223,18,31,3
600873514,18,39,5
1571428436,18,81,6
1482492223,18,38,1
168997341,18,36,1
184599763,18,29,1
2932242581,18,35,1
2540495838,18,28,1
108398674,18,26,1
380542968,18,31,1
2957564108,18,27,1
2748686820,18,38,2
33411018,18,33,1
2962507555,18,18,3
2237451721,17,42,2
1367531,17,188,17
55794552,17,17,17
2348408859,17,32,1
175272959,17,29,1
2211194534,17,34,1
223394024,17,22,1
243094509,17,27,2
38133247,17,17,8
39209049,17,31,1
2296150010,17,24,1
190280139,17,20,16
1716417475,17,30,1
20375332,17,39,1
50014086,17,34,1
478402262,17,25,10
32372694,17,45,1
413646006,17,29,2
41767207,17,30,1
151005270,16,29,4
199738451,16,24,7
21749564,16,47,2
159612424,16,31,2
27734496,16,33,2
46078438,16,55,4
190226961,16,34,1
63682553,16,28,1
2566535282,16,57,10
1885859976,16,25,4
2153036188,16,31,2
1495284030,16,20,5
1190444628,16,32,1
2668933880,16,28,2
1020681224,16,18,12
287183523,16,21,6
263745551,16,41,1
2580917595,16,19,1
61035181,16,40,2
2746117229,16,32,2
1120005338,16,52,1
1038235795,15,22,8
2596473806,15,30,2
2734350850,15,21,8
2799588421,15,19,5
14173315,15,153,15
556883798,15,32,1
142088047,15,27,4
41930798,15,23,1
292777349,15,121,15
31694460,15,19,8
65045121,15,50,3
2922814893,15,19,12
540903074,15,20,10
225971365,15,28,1
1576235694,15,33,2
281737861,15,27,9
1344297120,15,16,12
315878798,15,45,2
1586150718,15,23,2
1656511472,15,27,8
272431268,15,29,1
2811168768,15,30,1
148908323,15,26,1
2967365878,15,15,14
42498454,15,20,2
6017542,15,93,15
602235769,15,27,1
2881445031,15,36,1
2211587423,15,25,1
2781956756,15,26,3
190458578,15,28,1
27699168,15,37,1
43568964,15,28,2
44361097,15,37,1
353336701,15,26,1
2941652236,15,22,5
122294990,15,15,15
27067245,15,26,1
1447779020,15,27,1
2281162111,15,28,1
1325358739,14,23,2
18725815,14,153,12
126430378,14,28,2
2208892653,14,24,2
2559436158,14,33,2
328668326,14,23,1
2171201828,14,15,8
2288746260,14,31,1
881582755,14,19,4
19455392,14,19,3
2962064392,14,17,7
1268671406,14,18,3
21752699,14,33,2
2151979960,14,37,1
2796860460,14,22,3
2897717480,14,26,1
30122242,14,23,6
95545219,14,26,1
478157435,14,24,1
56064518,14,27,3
937655960,14,33,2
1963662985,14,14,14
1649548520,14,50,4
2905376702,14,22,6
417560239,14,28,1
561427595,14,33,1
5712532,14,17,1
90888044,14,23,3
1345738370,14,23,1
366248873,14,18,1
129024290,13,24,5
50294215,13,31,6
70467062,13,31,1
2176696315,13,18,2
47710543,13,28,1
22403315,13,19,9
31795193,13,43,3
557111376,13,35,3
198553539,13,26,3
29625450,13,31,2
546353513,13,19,3
87062247,13,28,2
20045868,13,17,4
114962484,13,13,13
23745072,13,29,1
1030435626,13,15,13
171212079,13,24,1
705041041,13,22,1
415733754,13,24,1
487600344,13,112,13
2365362649,13,21,1
28292289,13,25,4
161026267,13,23,3
243847340,13,21,1
157899542,13,31,1
35597677,13,13,10
2182711838,13,28,1
577553459,13,18,1
888078932,13,23,1
299734653,13,29,1
437673995,13,21,1
199149993,13,23,4
1468686096,13,20,1
952874910,13,21,1
2329395194,13,24,1
215924769,13,27,1
21330040,12,12,11
370274402,12,16,8
103833985,12,48,2
2964775983,12,15,8
455724651,12,15,9
1682412055,12,21,1
272840279,12,17,1
325234656,12,15,8
133240108,12,46,3
1645178179,12,21,3
34438002,12,33,1
1370664036,12,24,4
20748745,12,47,3
387186956,12,18,1
257535371,12,18,3
14293310,12,161,12
310386044,12,20,1
369029151,12,22,1
1486068540,12,15,2
2167506691,12,27,2
628038157,12,21,8
68145823,12,22,1
2723735572,12,17,4
2915138085,12,15,6
827498335,12,25,1
2566734918,12,23,3
36033359,12,12,12
2885348567,12,18,11
1580796806,12,19,1
59802843,12,22,1
44464005,12,23,3
39040427,12,21,3
610972228,12,24,1
1220360485,12,27,1
2876499075,12,23,1
43713337,12,23,1
268866184,12,39,2
34126592,12,19,12
20328741,12,20,1
2900148061,12,13,10
1731483115,12,19,1
876113958,12,34,1
2647755663,12,19,1
155899869,12,32,1
358459982,12,21,1
2905430920,11,20,3
85535913,11,20,5
2306913865,11,19,2
2799355045,11,19,1
70650435,11,15,2
742143,11,145,11
15557246,11,27,1
15754281,11,122,11
1554102698,11,17,5
2560148358,11,12,10
2310107706,11,32,2
2787045658,11,12,1
47491845,11,16,2
405023264,11,23,2
776413867,11,18,1
1062791150,11,13,9
2905024636,11,15,1
2953527421,11,15,1
303896480,11,19,3
55769601,11,20,1
815237034,11,19,1
88168692,11,22,4
1528260655,11,21,6
21063394,11,22,2
2842801283,11,22,1
823857570,11,23,1
327113920,11,25,1
321888119,11,27,2
415620907,11,19,2
249221120,11,13,5
339711830,11,24,1
1423496472,11,23,1
240114180,11,11,10
22166232,11,17,3
1666280082,11,19,1
1263706735,11,28,1
397587164,11,16,1
12007192,11,16,1
112352056,11,29,1
61784730,11,20,2
20291023,11,21,1
221310328,10,15,6
392958028,10,16,4
1003989258,10,19,4
189118361,10,17,5
2464329458,10,11,9
1358771935,10,15,3
82412657,10,15,5
213038249,10,14,2
2881512375,10,24,2
1848242569,10,25,1
8669812,10,21,1
1382894354,10,10,10
17537467,10,122,9
759251,10,85,10
28305154,10,20,2
62155958,10,10,10
2925076892,10,13,1
17264634,10,18,2
14138785,10,76,10
402738328,10,12,5
48304732,10,13,10
169215355,10,23,1
2654320636,10,15,7
1168136138,10,15,1
1356407618,10,13,2
2811807426,10,17,3
487323764,10,16,1
242121420,10,21,1
1279715010,10,17,1
2732759879,10,18,1
972651,10,101,10
171435540,10,23,2
2295239155,10,20,2
19346439,10,56,3
550423777,10,20,1
20554822,10,17,1
1217590153,10,22,2
57023952,10,14,6
15778471,10,15,1
35303299,10,22,1
2935490089,10,13,4
2882736641,10,22,3
53843310,10,20,1
1427002464,10,22,1
2704810752,10,17,4
2601585061,10,22,1
49948272,10,12,7
38708614,10,30,2
2363325966,10,26,1
213655226,10,14,1
88160640,10,21,1
73571300,10,18,1
2636328522,10,23,1
328341499,10,18,1
258730076,10,12,10
569225542,10,33,1
2813784567,10,18,1
582119732,10,21,1
237866141,10,18,1
2203388255,10,21,1
153132339,10,10,10
615331081,10,15,1
2585167779,10,17,1
1455949729,10,16,1
2427186176,10,14,1
116205535,10,10,1
2858149972,9,15,8
307195603,9,14,2
374712154,9,72,8
2484304264,9,13,6
72588786,9,9,9
2908504576,9,17,4
326078926,9,15,2
1324736137,9,17,2
60296618,9,30,2
600961272,9,17,3
707145385,9,20,1
2857523995,9,17,2
2877276800,9,11,7
20860653,9,23,2
1309728793,9,24,1
1849534285,9,19,1
772198776,9,13,3
932284093,9,17,1
125344265,9,9,9
1568890652,9,17,4
711083054,9,12,4
2351478066,9,14,4
788524,9,72,9
706914554,9,13,2
55949344,9,15,5
8432682,9,15,2
276075970,9,16,1
17665641,9,13,5
107763179,9,15,1
86459786,9,11,3
16020483,9,9,5
546381549,9,12,4
2758691533,9,22,1
1485192062,9,18,2
433851538,9,18,1
389548615,9,9,8
2828640809,9,18,4
43230323,9,16,1
149913262,9,108,9
409210532,9,17,1
2461887810,9,77,9
111356099,9,14,2
1652541,9,110,9
19533817,9,24,1
14846641,9,16,2
2864105789,9,12,4
2889009596,9,16,4
1420532611,9,11,1
94212396,9,16,2
19563727,9,21,2
259619085,9,14,1
1692065287,9,12,3
16649035,9,17,2
329173479,9,16,1
15427912,9,14,3
2901964056,9,14,4
128750531,9,17,4
755864660,9,18,2
174322021,9,20,1
275407701,9,13,1
112207252,9,13,1
88851341,9,14,2
619894373,9,19,1
1414017500,9,20,2
369566908,9,22,1
399004122,9,19,1
140622942,9,18,1
2489876530,9,17,2
233038442,9,17,1
134755699,9,16,1
2429521228,9,15,1
14680246,9,20,1
2824442646,9,15,5
11966392,9,19,1
775045572,9,29,1
1394418516,9,15,1
146918310,9,18,1
2367238122,9,17,1
51052182,9,17,1
373528975,9,23,1
34960914,9,14,1
203143374,9,16,1
2690842873,9,9,9
107031620,9,9,7
607925802,9,21,1
1720757281,9,15,1
23485619,9,15,1
2717034139,9,9,9
1080957721,9,18,1
2394746518,9,20,1
612283811,9,15,1
16573662,9,28,2
245455480,9,12,1
77899147,9,22,1
896137904,9,14,1
104487298,9,17,1
2882386301,9,15,1
1271386550,9,10,2
885363181,8,16,1
286801248,8,9,7
68956490,8,9,8
2837193419,8,9,1
114716461,8,13,3
2965078709,8,15,2
1270339064,8,10,4
127450313,8,14,2
200700159,8,13,4
114924199,8,14,3
2188165862,8,25,3
245051131,8,11,5
177830416,8,13,5
60165404,8,9,6
299378671,8,20,2
2927507078,8,14,2
407407474,8,19,2
1531789724,8,10,4
2869304847,8,10,8
22435220,8,13,5
2289664622,8,10,5
1653060816,8,17,1
1944275736,8,15,1
2192824389,8,16,3
1151095778,8,13,7
532779460,8,50,4
16012783,8,49,8
254873869,8,48,4
397546532,8,17,1
2535400212,8,13,1
16589206,8,66,7
207023127,8,11,4
2609080965,8,8,3
354993073,8,12,1
402070775,8,9,8
2398461846,8,16,3
2356127598,8,8,6
1543018256,8,15,1
2438703847,8,10,1
876378530,8,29,1
46818339,8,13,2
21579414,8,14,1
484240369,8,10,4
162219704,8,20,1
2556961425,8,9,3
2762702188,8,13,2
31532999,8,25,1
105404541,8,10,2
23476134,8,14,1
2800176902,8,15,2
2195116544,8,11,6
588726199,8,14,1
50245312,8,17,1
30126064,8,16,1
1528718839,8,15,1
770751798,8,17,1
43531759,8,21,2
1822094124,8,14,1
2856401319,8,8,7
365389397,8,17,1
877551276,8,19,1
2286985572,8,8,1
2871280115,8,8,5
28785486,8,85,8
538765846,8,8,7
20526449,8,18,1
26493907,8,14,1
1407027576,8,8,7
561859202,8,17,1
466228100,8,13,3
9507342,8,30,3
469797841,8,17,1
53013955,8,19,1
15730804,8,10,4
255501090,8,15,1
2863136065,8,16,1
94718067,8,16,1
70593494,8,8,5
2951968857,8,8,8
101392537,8,17,1
354914590,8,9,1
51537420,8,17,2
25193031,8,19,1
413831626,8,14,1
1492883130,8,10,1
110820682,8,15,1
213698858,8,11,3
213243259,8,16,1
851775086,8,17,1
2834204245,8,14,1
2895859044,8,15,1
118928446,8,15,1
1137320347,8,21,1
460849436,8,14,1
407279130,8,10,1
258003948,8,19,2
2376076501,8,12,1
291561694,8,16,1
2741866624,8,16,1
369859193,8,15,1
